,pid,user,date
0,11166973,VladimirNik,2013-12-31T23:10:55Z
1,11161892,Ichoran,2013-12-31T16:55:47Z
2,11153894,Ichoran,2013-12-31T02:41:13Z
3,11151917,rklaehn,2013-12-30T23:45:47Z
4,11131244,qerub,2013-12-29T17:21:01Z
5,11130874,Ichoran,2013-12-29T16:03:55Z
6,11129556,rklaehn,2013-12-29T10:15:46Z
7,11126653,xeno-by,2013-12-28T19:39:23Z
8,11126070,OlivierBlanvillain,2013-12-28T17:32:51Z
9,11121557,xeno-by,2013-12-27T23:50:56Z
10,11121465,xeno-by,2013-12-27T23:41:05Z
11,11121327,xeno-by,2013-12-27T23:25:52Z
12,11114584,xeno-by,2013-12-27T15:51:50Z
13,11114355,rklaehn,2013-12-27T15:37:25Z
14,11104796,paulp,2013-12-27T00:49:23Z
15,11100618,Ichoran,2013-12-26T19:08:10Z
16,11096632,xeno-by,2013-12-26T14:18:52Z
17,11079637,non,2013-12-24T21:00:22Z
18,11065948,Ichoran,2013-12-24T01:34:09Z
19,11065140,Ichoran,2013-12-24T00:21:15Z
20,11064556,Ichoran,2013-12-23T23:37:37Z
21,11062700,Ichoran,2013-12-23T21:53:47Z
22,11046915,xuwei-k,2013-12-23T08:18:23Z
23,11042476,retronym,2013-12-22T20:12:00Z
24,11037693,paulp,2013-12-21T23:38:32Z
25,11035104,OlivierBlanvillain,2013-12-21T15:10:29Z
26,11034849,gzm0,2013-12-21T14:13:34Z
27,11015327,gzm0,2013-12-20T15:58:35Z
28,11003958,soc,2013-12-20T08:32:38Z
29,10992566,xeno-by,2013-12-19T22:02:41Z
30,10963500,soc,2013-12-19T05:56:24Z
31,10963496,soc,2013-12-19T05:56:11Z
32,10955978,xeno-by,2013-12-18T23:03:39Z
33,10941023,retronym,2013-12-18T16:27:07Z
34,10928216,gzm0,2013-12-18T09:38:10Z
35,10924314,som-snytt,2013-12-18T06:15:22Z
36,10917554,soc,2013-12-17T23:42:49Z
37,10916799,paulp,2013-12-17T23:17:57Z
38,10907415,retronym,2013-12-17T19:10:46Z
39,10892287,xeno-by,2013-12-17T12:21:23Z
40,10892233,xeno-by,2013-12-17T12:19:05Z
41,10870797,xeno-by,2013-12-16T20:50:35Z
42,10847631,magarciaEPFL,2013-12-16T09:12:52Z
43,10845521,adriaanm,2013-12-16T07:14:12Z
44,10843649,som-snytt,2013-12-16T04:29:26Z
45,10842387,paulp,2013-12-16T02:30:22Z
46,10840075,retronym,2013-12-15T21:18:50Z
47,10839146,paulp,2013-12-15T18:55:54Z
48,10828956,adriaanm,2013-12-14T06:45:54Z
49,10828926,adriaanm,2013-12-14T06:36:09Z
50,10819705,adriaanm,2013-12-13T20:36:42Z
51,10772711,dotta,2013-12-12T16:33:41Z
52,10753849,adriaanm,2013-12-12T03:40:41Z
53,10749413,retronym,2013-12-11T23:57:36Z
54,10740492,soc,2013-12-11T19:53:16Z
55,10738467,retronym,2013-12-11T19:00:19Z
56,10734364,skyluc,2013-12-11T17:12:15Z
57,10729448,retronym,2013-12-11T15:19:19Z
58,10727218,densh,2013-12-11T14:20:01Z
59,10708767,adriaanm,2013-12-10T23:51:47Z
60,10699688,soc,2013-12-10T19:44:03Z
61,10689699,xeno-by,2013-12-10T15:41:50Z
62,10689676,jrudolph,2013-12-10T15:41:20Z
63,10689620,xeno-by,2013-12-10T15:40:01Z
64,10687566,xeno-by,2013-12-10T14:51:59Z
65,10684592,densh,2013-12-10T13:24:27Z
66,10679313,xeno-by,2013-12-10T10:17:10Z
67,10679246,retronym,2013-12-10T10:14:27Z
68,10675376,scottcarey,2013-12-10T07:28:29Z
69,10668503,retronym,2013-12-10T00:38:25Z
70,10667279,soc,2013-12-09T23:51:52Z
71,10667173,retronym,2013-12-09T23:48:19Z
72,10666800,adriaanm,2013-12-09T23:35:50Z
73,10666339,soc,2013-12-09T23:21:09Z
74,10649629,xeno-by,2013-12-09T16:05:17Z
75,10642492,densh,2013-12-09T12:34:54Z
76,10640150,rtyley,2013-12-09T11:03:11Z
77,10639647,rtyley,2013-12-09T10:45:42Z
78,10636470,retronym,2013-12-09T08:38:02Z
79,10635459,retronym,2013-12-09T07:37:05Z
80,10631991,soc,2013-12-09T02:38:21Z
81,10630807,soc,2013-12-09T00:19:56Z
82,10627775,soc,2013-12-08T17:08:27Z
83,10627497,xeno-by,2013-12-08T16:19:14Z
84,10626561,xeno-by,2013-12-08T13:24:35Z
85,10622614,xeno-by,2013-12-07T22:14:15Z
86,10621259,retronym,2013-12-07T18:39:57Z
87,10616475,scottcarey,2013-12-07T02:48:37Z
88,10607773,xeno-by,2013-12-06T20:33:09Z
89,10601299,xeno-by,2013-12-06T17:33:40Z
90,10594411,retronym,2013-12-06T14:30:02Z
91,10589630,retronym,2013-12-06T11:26:08Z
